2023-06-17 14:31:02,015 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Configure stats pid to 916105
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Loading settings from /home/edo/.config/wandb/settings
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Loading settings from /home/edo/Desktop/orc/03_assignment/wandb/settings
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_executable': '/usr/bin/python3'}
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DQN template.py', 'program': 'DQN template.py'}
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_init.py:_log_setup():507] Logging user logs to /home/edo/Desktop/orc/03_assignment/wandb/run-20230617_143102-f33df0pn/logs/debug.log
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_init.py:_log_setup():508] Logging internal logs to /home/edo/Desktop/orc/03_assignment/wandb/run-20230617_143102-f33df0pn/logs/debug-internal.log
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_init.py:init():547] calling init triggers
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_init.py:init():596] starting backend
2023-06-17 14:31:02,016 INFO    MainThread:916105 [wandb_init.py:init():600] setting up manager
2023-06-17 14:31:02,018 INFO    MainThread:916105 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-17 14:31:02,019 INFO    MainThread:916105 [wandb_init.py:init():606] backend started and connected
2023-06-17 14:31:02,023 INFO    MainThread:916105 [wandb_init.py:init():700] updated telemetry
2023-06-17 14:31:02,038 INFO    MainThread:916105 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-06-17 14:31:35,887 INFO    MainThread:916105 [wandb_run.py:_on_init():2177] communicating current version
2023-06-17 14:31:36,143 INFO    MainThread:916105 [wandb_run.py:_on_init():2186] got version response upgrade_message: "wandb version 0.15.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-06-17 14:31:36,143 INFO    MainThread:916105 [wandb_init.py:init():787] starting run threads in backend
2023-06-17 14:31:36,393 INFO    MainThread:916105 [wandb_run.py:_console_start():2158] atexit reg
2023-06-17 14:31:36,393 INFO    MainThread:916105 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-06-17 14:31:36,394 INFO    MainThread:916105 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-06-17 14:31:36,394 INFO    MainThread:916105 [wandb_run.py:_redirect():2103] Redirects installed.
2023-06-17 14:31:36,395 INFO    MainThread:916105 [wandb_init.py:init():829] run started, returning control to user process
2023-06-17 16:46:56,558 INFO    MainThread:916105 [wandb_run.py:_finish():1893] finishing run myteamunitn/pendulum_DQN/f33df0pn
2023-06-17 16:46:56,558 INFO    MainThread:916105 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2023-06-17 16:46:56,558 INFO    MainThread:916105 [wandb_run.py:_restore():2110] restore
2023-06-17 16:46:56,559 INFO    MainThread:916105 [wandb_run.py:_restore():2116] restore done
2023-06-17 16:47:08,165 INFO    MainThread:916105 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2023-06-17 16:47:08,167 INFO    MainThread:916105 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2023-06-17 16:47:08,172 INFO    MainThread:916105 [wandb_run.py:_footer_sync_info():3428] logging synced files
